Abin_Sur, dc
Gargantua_(comics), marvel
Gargoyle_(comics), marvel
Garokk, marvel
Jeffrey_Garrett, marvel
John_Garrett_(comics), marvel
Gatecrasher_(Marvel_Comics), marvel
Gateway_(comics), marvel
Kulan_Gath, marvel
Gauntlet_(comics), marvel
Gavel_(comics), marvel
Salem's_Seven, marvel
Geiger_(comics), marvel
Gemini_(Marvel_Comics), marvel
Genesis_(Marvel_Comics), marvel
Genis-Vell, marvel
Gentle_(comics), marvel
Ghaur, marvel
Ghost_(Marvel_Comics), marvel
Ghost_Rider, marvel
Ghost_Rider_2099, marvel
Giant-Man, marvel
Gibbon_(comics), marvel
Gibborim_(comics), marvel
Gideon_(comics), marvel
Giganto, marvel
Gigantus, marvel
Gladiator_(Melvin_Potter), marvel
Gladiatrix_(comics), marvel
Corvus_Glaive, marvel
Glob_(comics), marvel
Glorian, marvel
Ma_Gnucci, marvel
GoGo_Tomago, marvel
Goddess_(comics), marvel
Godzilla,_King_of_the_Monsters_(comic_book), marvel
Femizons, marvel
Betsy_Ross_(comics), marvel
Golem_(comics), marvel
Goliath_(Marvel_Comics), marvel
Vin_Gonzales, marvel
Goom, marvel
Gorgilla, marvel
Gorgolla, marvel
Gorgon_(Inhuman), marvel
Delphyne_Gorgon, marvel
Gorilla_Girl, marvel
Gorilla-Man, marvel
Gorr_the_God_Butcher, marvel
Gorr_the_Golden_Gorilla, marvel
Grand_Director, marvel
Glory_Grant, marvel
Grasshopper_(comics), marvel
Graviton_(comics), marvel
Gravity_(comics), marvel
Graymalkin, marvel
Green_Goblin|Green_Goblin_(Ultimate_Marvel_character), marvel
Grey_Gargoyle, marvel
Jean_Grey, marvel
Griffin_(Marvel_Comics), marvel
David_Griffith_(comics), marvel
Grim_Hunter, marvel
Grim_Reaper_(comics), marvel
Grindhouse_(comics), marvel
Grizzly_(comics), marvel
Grog_(Marvel_Comics), marvel
Groot, marvel
Guardian_(Marvel_Comics), marvel
Guardsman_(comics), marvel
Jebediah_Guthrie, marvel
Henry_Peter_Gyrich, marvel
Gwenpool, marvel
Hala_the_Accuser, marvel
Tadashi_Hamada, marvel
Cockroach_Hamilton, marvel
Justin_Hammer, marvel
Hammerhead_(comics), marvel
Victoria_Hand_(comics), marvel
Maya_Hansen, marvel
Hardball_(comics), marvel
Leila_Davis, marvel
Felicity_Hardy, marvel
Celestials_(comics), marvel
Agatha_Harkness, marvel
Marauders_(comics), marvel
Harrier_(comics), marvel
DP_7, marvel
Jonas_Harrow, marvel
Hate-Monger, marvel
Hauptmann_Deutschland, marvel
Havok_(comics), marvel
Hawkeye_(Clint_Barton)|Clint_Barton_(Marvel_Cinematic_Universe), marvel
Pride_(comics), marvel
Haywire_(comics), marvel
Mark_Hazzard:_Merc, marvel
Headlok, marvel
Headsman_(comics), marvel
Hebe_(Marvel_Comics), marvel
Hecate_(Marvel_Comics), marvel
Hector_(Pantheon), marvel
Heimdall_(comics), marvel
Hela_(comics), marvel
Helix_(Marvel_Comics), marvel
Patsy_Walker, marvel
Hellcow, marvel
Hellfire_(J.T._Slade), marvel
Hellion_(comics), marvel
Hellrazor, marvel
Daimon_Hellstrom, marvel
Hepzibah_(comics), marvel
H.E.R.B.I.E., marvel
Hercules_(Marvel_Comics), marvel
Gregory_Herd, marvel
Hermes_(Marvel_Comics), marvel
Hermod_(comics), marvel
Hex_(Marvel_Comics), marvel
High_Evolutionary, marvel
Hijacker_(comics), marvel
Maria_Hill, marvel
Hindsight_(comics), marvel
Hiro-Kala, marvel
Hiroim, marvel
Hit-Monkey, marvel
Hitman_(Marvel_Comics), marvel
Toni_Ho, marvel
Anne_Marie_Hoag, marvel
Hobgoblin_(comics), marvel
Cameron_Hodge, marvel
Happy_Hogan_(comics), marvel
Jeryn_Hogarth, marvel
Hogun, marvel
Holocaust_(Marvel_Comics), marvel
Menace_(Marvel_Comics), marvel
Wonder_Man, marvel
Honey_Lemon, marvel
Hood_(comics), marvel
Hornet_(comics), marvel
Howard_the_Duck, marvel
George_Howe_(comics), marvel
Hrimhari, marvel
Jimmy_Hudson, marvel
Hugin_and_Munin_(Marvel_Comics), marvel
Hulk|Bruce_Banner_(Marvel_Cinematic_Universe), marvel
Hulk_2099, marvel
Hulkling, marvel
Human_Cannonball_(Marvel_Comics), marvel
Human_Fly_(comics), marvel
Human_Top_(David_Mitchell), marvel
Human_Torch_(android), marvel
Humbug_(comics), marvel
Hummingbird_(comics), marvel
Humus_Sapien, marvel
Fantastic_Force, marvel
Henrietta_Hunter, marvel
Stevie_Hunter, marvel
Huntsman_(Cephalus), marvel
Hurricane_(comics), marvel
Husk_(comics), marvel
Faiza_Hussain, marvel
Hybrid_(Jimmy_Marks), marvel
Hydro-Man, marvel
Hyperion_(comics), marvel
Hypno-Hustler, marvel
Hypnotia, marvel
Iceman_(Marvel_Comics), marvel
Idunn_(comics), marvel
Ikaris, marvel
Immortus, marvel
Impossible_Man, marvel
In-Betweener, marvel
Indra_(comics), marvel
Inertia_(Marvel_Comics), marvel
Inferno_(Dante_Pertuz), marvel
Ink_(comics), marvel
Shola_Inkosi, marvel
Petra_Laskov, marvel
Invisible_Woman, marvel
Ion_(Marvel_Comics), marvel
Iron_Cross_(Marvel_Comics), marvel
Iron_Fist_(comics), marvel
Iron_Lad, marvel
Iron_Man|Iron_Man_(Ultimate_Marvel_character)|Tony_Stark_(Marvel_Cinematic_Universe), marvel
Iron_Man_2020, marvel
Iron_Monger, marvel
Iron_Patriot, marvel
Ironclad_(comics), marvel
ISAAC_(comics), marvel
Isbisa, marvel
It!_The_Living_Colossus, marvel
J'son_(character), marvel
J2_(comics), marvel
Jack_Flag, marvel
Jack_Frost_(Marvel_Comics), marvel
Jack_O'Lantern_(Marvel_Comics), marvel
Jack_of_Hearts_(Marvel_Comics), marvel
Jackal_(Marvel_Comics_character), marvel
Jackhammer_(comics), marvel
Jackpot_(Marvel_Comics), marvel
Brent_Jackson, marvel
J._Jonah_Jameson, marvel
John_Jameson_(comics), marvel
Jann_of_the_Jungle, marvel
Janus_(Marvel_Comics), marvel
Jarella, marvel
J.A.R.V.I.S., marvel
Edwin_Jarvis, marvel
Jerry_Jaxon, marvel
Jazinda, marvel
Jester_(Marvel_Comics), marvel
Jetstream_(comics), marvel
Jigsaw_(Marvel_Comics), marvel
Jimmy-6, marvel
Joan_(comics), marvel
Jocasta_(comics), marvel
John_the_Skrull, marvel
Johnny_Dee, marvel
Jolen_(comics), marvel
Charlotte_Jones_(comics), marvel
Gabe_Jones, marvel
Hugh_Jones_(comics), marvel
Jessica_Jones, marvel
Rick_Jones_(comics), marvel
Jubilee_(comics), marvel
Jude_the_Entropic_Man, marvel
Juggernaut_(comics), marvel
Junior_Juniper, marvel
Junta_(comics), marvel
Justice_(New_Universe), marvel
Kaecilius, marvel
Elloe_Kaifi, marvel
Kala_(comics), marvel
Jennifer_Kale, marvel
Noble_Kale, marvel
Kaluu, marvel
Kamikaze_(comics), marvel
Garrison_Kane, marvel
Kang_the_Conqueror, marvel
Kangaroo_(comics), marvel
Karkas_(comics), marvel
Karma_(comics), marvel
Karnak_(comics), marvel
Karthon_the_Quester, marvel
Ka-Zar_(David_Rand)|Ka-Zar_(Kevin_Plunder), marvel
Robert_Kelly_(comics), marvel
Kestrel_(Marvel_Comics), marvel
Kamala_Khan, marvel
Khonshu_(Marvel_Comics), marvel
KIA_(comics), marvel
Kiber_the_Cruel, marvel
Kid_Cassidy, marvel
Kid_Colt, marvel
Kid_Kaiju, marvel
Kid_Omega, marvel
Killer_Shrike, marvel
Aldrich_Killian, marvel
Erik_Killmonger, marvel
Killpower, marvel
Killraven, marvel
Kimura_(comics), marvel
Harry_Osborn, marvel
Hannibal_King, marvel
King_Bedlam, marvel
Kingmaker_(comics), marvel
Kingpin_(comics), marvel
Roderick_Kingsley, marvel
Kismet_(Marvel_Comics), marvel
Kiwi_Black, marvel
Klaatu_(comics), marvel
Klaw_(Marvel_Comics), marvel
Kleinstocks, marvel
Misty_Knight, marvel
Knull_(comics), marvel
Eric_Koenig, marvel
Komodo_(comics), marvel
Korath_the_Pursuer, marvel
Korg_(comics), marvel
Korrek, marvel
Korvac, marvel
Korvus_(comics), marvel
Kraglin, marvel
Daniel_Whitehall, marvel
Krakoa, marvel
Krang_(Marvel_Comics), marvel
Kraven_the_Hunter, marvel
Kro_(comics), marvel
Krystalin, marvel
Kull_(comics), marvel
Kylun, marvel
La_Lunatica, marvel
Lacuna_(comics), marvel
Lady_Bullseye, marvel
Lady_Deathstrike, marvel
Lady_Dorma, marvel
Lady_Grey_(comics), marvel
Lady_Lotus, marvel
Lady_Mastermind, marvel
Lady_Octopus, marvel
Lamprey_(comics), marvel
Steven_Lang_(comics), marvel
Laufey_(comics), marvel
Morgan_le_Fay_(Marvel_Comics), marvel
Leader_(comics), marvel
Leech_(comics), marvel
Ned_Leeds, marvel
Left-Winger_(comics), marvel
Prudence_Leighton, marvel
Lei_Kung_(comics), marvel
Leir_(Marvel_Comics), marvel
Harry_Leland, marvel
Leo_(comics), marvel
Leper_Queen, marvel
Letha_(comics), marvel
Libra_(Marvel_Comics), marvel
Lifeform_(comics), marvel
Lifeguard_(comics), marvel
Lightmaster, marvel
Crusaders_(Marvel_Comics), marvel
Julie_Power, marvel
Lilith_(Marvel_Comics), marvel
Lionheart_(comics), marvel
Litterbug_(comics), marvel
Living_Brain, marvel
Living_Laser, marvel
Living_Lightning, marvel
Living_Monolith, marvel
Living_Tribunal, marvel
Lizard_(comics), marvel
Llyra, marvel
Loa_(comics), marvel
Maximus_Lobo, marvel
Lobo_Brothers, marvel
Lockheed_(comics), marvel
Lockjaw_(comics), marvel
Locus_(comics), marvel
Locust_(comics), marvel
Lodestone_(comics), marvel
Loki_(Marvel_Comics)|Loki_(Marvel_Cinematic_Universe), marvel
Raza_Longknife, marvel
Longshot_(Marvel_Comics), marvel
Lord_Chaos_(Marvel_Comics), marvel
Lord_Dark_Wind, marvel
Hellfire_Club_(comics), marvel
Andy_Lorimer, marvel
Lorna_the_Jungle_Girl, marvel
Lorelei_(Mutate), marvel
Nancy_Lu, marvel
Lucifer_(Marvel_Comics), marvel
Karolina_Dean, marvel
Aleksander_Lukin, marvel
Willie_Lumpkin, marvel
Lunatik, marvel
Lupo_(comics), marvel
Lurking_Unknown, marvel
Lyja, marvel
Gideon_Mace, marvel
Jason_Macendale, marvel
Abner_Jenkins, marvel
Machete_(comics), marvel
Machine_Man, marvel
Machine_Teen, marvel
Machinesmith, marvel
Al_MacKenzie, marvel
Moira_MacTaggart, marvel
Mad_Dog_(Marvel_Comics), marvel
Mad_Dog_Rassitano, marvel
Mad_Thinker, marvel
Madame_Hydra, marvel
Madame_Masque, marvel
Sunset_Bain, marvel
Madame_Web, marvel
Madcap_(comics), marvel
Madman_(Marvel_Comics), marvel
Maelstrom_(comics), marvel
Maestro_(comics), marvel
Maggott, marvel
Magician_(comics), marvel
Magik_(comics), marvel
Magique, marvel
Magma_(Jonathan_Darque), marvel
Magneto_(Marvel_Comics), marvel
Enchanters_Three, marvel
Mahkizmo, marvel
Brett_Mahoney, marvel
Mahr_Vehl, marvel
Major_Mapleleaf, marvel
Maker_(Reed_Richards), marvel
Makkari_(comics), marvel
Malekith_the_Accursed, marvel
Malice_(comics), marvel
Karl_Malus, marvel
Mammomax, marvel
Man-Ape, marvel
Man-Beast, marvel
Man-Bull, marvel
Man-Elephant, marvel
Man-Killer, marvel
Man_Mountain_Marko, marvel
Spider-Man, marvel
Man-Thing, marvel
Victor_Mancha, marvel
Mandarin_(comics), marvel
Mandrill_(comics), marvel
Dino_Manelli, marvel
Mangog, marvel
Manifold_(comics), marvel
Manikin_(comics), marvel
Manphibian, marvel
Mantis_(Marvel_Comics), marvel
Anna_Maria_Marconi, marvel
Marrow_(comics), marvel
Martinex, marvel
Phyla-Vell, marvel
Marvel_Boy_(Robert_Grayson), marvel
Marvelman, marvel
Masked_Marauder, marvel
Masked_Raider, marvel
Masque_(comics), marvel
Massacre_(Marvel_Comics), marvel
Jack_Power_(Marvel_Comics), marvel
Master_Izo, marvel
Master_Khan, marvel
Master_Man_(Marvel_Comics)|l1=Master_Man, marvel
Master_Menace, marvel
Master_Mold, marvel
Master_of_the_World_(comics)|l1=Master_of_the_World, marvel
Master_Pandemonium, marvel
Mastermind_(Jason_Wyngarde), marvel
Alicia_Masters, marvel
Matador_(Marvel_Comics), marvel
Match_(Marvel_Comics), marvel
Mathemanic, marvel
Mauler_(comics), marvel
David_North_(comics), marvel
Robert_Maverick, marvel
Ebony_Maw, marvel
Luna_Maximoff, marvel
Maximus_(comics), marvel
Melinda_May, marvel
Mayhem_(comics), marvel
Kenny_McFarlane, marvel
Meanstreak_(comics), marvel
Medusa_(comics), marvel
Harold_Meachum, marvel
Ward_Meachum, marvel
Meggan_(character), marvel
Seamus_Mellencamp, marvel
Melter, marvel
Mentallo, marvel
Mentor_(A'lars), marvel
Mephisto_(comics), marvel
Mercurio_the_4-D_Man, marvel
Mercury_(Marvel_Comics), marvel
Merlin_(Marvel_Comics), marvel
Merlyn_(Marvel_Comics), marvel
Irene_Merryweather, marvel
Mesmero, marvel
Metal_Master_(comics), marvel
Metalhead_(comics), marvel
Karla_Sofen, marvel
Mettle_(comics), marvel
Lynn_Michaels, marvel
Microchip_(comics), marvel
Micromax, marvel
Midas_(comics), marvel
Midgard_Serpent_(comics), marvel
Proxima_Midnight, marvel
Midnight_Sun_(Marvel_Comics), marvel
Midnight's_Fire, marvel
Miek, marvel
Milan_(comics), marvel
Millie_the_Model, marvel
Mimic_(comics), marvel
Mind-Wave, marvel
Mindless_Ones, marvel
Nico_Minoru, marvel
Pride_(comics), marvel
Minotaur_(comics), marvel
Miracle_Man, marvel
Mirage_(Marvel_Comics), marvel
Miss_America_(Madeline_Joyce), marvel
Miss_Arrow, marvel
Missing_Link_(comics), marvel
Mister_Fantastic, marvel
Mister_Fear, marvel
Mr._Fish, marvel
Gamma_Corps, marvel
Mister_Hyde_(comics), marvel
Mister_Immortal, marvel
Mister_Jip, marvel
Mister_M_(comics), marvel
Mister_Negative, marvel
Mister_Sensitive, marvel
Mister_Sinister, marvel
Mister_X_(Marvel_Comics), marvel
Yorkie_Mitchell, marvel
MJ_(Marvel_Cinematic_Universe), marvel
Mockingbird_(Marvel_Comics), marvel
MODAM, marvel
Max_Modell, marvel
MODOK, marvel
Modred_the_Mystic, marvel
Modular_Man, marvel
Mojo_(comics), marvel
Mole_Man, marvel
Molecule_Man, marvel
Molten_Man, marvel
Mongoose_(comics), marvel
Monsteroso, marvel
Montana_(comics), marvel
Moon-Boy, marvel
Moondragon, marvel
Moon_Girl_(Marvel_Comics), marvel
Moonglow_(comics), marvel
Moon_Knight, marvel
Danielle_Moonstar, marvel
Lloyd_Bloch, marvel
Spider-Man_(Miles_Morales), marvel
Morbius,_the_Living_Vampire, marvel
Mordred_(comics), marvel
David_Moreau, marvel
MOR103, marvel
Jim_Morita, marvel
Morlun, marvel
Morning_Star_(comics), marvel
Morph_(comics), marvel
Morpheus_(Marvel_Comics), marvel
Morrat, marvel
Lois_London, marvel
Mother_Night_(comics), marvel
Motormouth_(comics), marvel
Mountjoy_(comics), marvel
Alyssa_Moy, marvel
Ms._Marvel, marvel
Jamie_Madrox, marvel
Jack_Murdock_(comics), marvel
Maggie_Murdock, marvel
Daredevil_(Marvel_Comics_character)|Kingpin_(Matt_Murdock), marvel
Mike_Murdock, marvel
Murmur_(Marvel_Comics), marvel
Junzo_Muto, marvel
Mysterio, marvel
Mystique_(comics), marvel
N'astirh, marvel
N'Garai, marvel
N'Kantu,_the_Living_Mummy, marvel
Naga_(Marvel_Comics), marvel
Nahrees_(comics), marvel
Namor_the_Sub-Mariner, marvel
Namora, marvel
Namorita, marvel
Native_(comics), marvel
Nebula_(comics), marvel
NFL_SuperPro, marvel
Night_Nurse_(comics), marvel
Night_Thrasher_(Dwayne_Taylor), marvel
Nightcrawler_(comics), marvel
Nighthawk_(Marvel_Comics), marvel
Nightmare_(Marvel_Comics), marvel
Nightmask, marvel
Nightshade_(Marvel_Comics), marvel
Nightside_(comics), marvel
Nightwatch_(comics), marvel
Nikki_(comics), marvel
Tana_Nile, marvel
Nimrod_(comics), marvel
Nitro_(comics), marvel
Kiden_Nixon, marvel
No-Name, marvel
Nocturne_(Talia_Wagner), marvel
Nomad_(comics), marvel
Dakota_North_(comics), marvel
Northstar_(Marvel_Comics), marvel
Nova_(Frankie_Raye), marvel
Cassandra_Nova, marvel
Nth_Man, marvel
Nuke_(Marvel_Comics), marvel
Nuklo, marvel
Randy_O'Brien, marvel
Alfie_O'Meggan, marvel
Solomon_O'Sullivan, marvel
Obituary_(comics), marvel
Obliterator_(comics), marvel
Obnoxio_the_Clown, marvel
Occulus, marvel
Ocean_(Marvel_Comics), marvel
Ocelot_(comics), marvel
Oddball_(comics), marvel
Odin_(comics), marvel
Aleta_Ogord, marvel
Ogre_(Marvel_Comics), marvel
Ogress_(comics), marvel
Old_Lace_(comics), marvel
Old_Man_Logan, marvel
Omega_(Marvel_Comics), marvel
Omega_Red, marvel
Omega_the_Unknown, marvel
Paulie_Provenzano, marvel
Onyxx, marvel
Ooze_(comics), marvel
Gene_Nation, marvel
Optoman, marvel
Oracle_(Marvel_Comics), marvel
Orator_(comics), marvel
Orb_(comics), marvel
Orbit_(comics), marvel
Orchid_(comics), marvel
Ord_(comics), marvel
Orka_(comics), marvel
Orphan_(Marvel_Comics), marvel
Orphan-Maker, marvel
Orrgo, marvel
Ismael_Ortega, marvel
Harry_Osborn|Harry_Osborn_(Sam_Raimi_film_series), marvel
Norman_Osborn|Norman_Osborn_(Sam_Raimi_film_series), marvel
Normie_Osborn, marvel
Oshtur, marvel
Osiris_(Marvel_Comics), marvel
Otomo_(comics), marvel
Outlaw_(comics), marvel
Outlaw_Kid, marvel
Overdrive_(comics), marvel
Overkill_(comics), marvel
Overmind_(comics), marvel
Ozone_(comics), marvel
Owl_(Marvel_Comics), marvel
Ox_(comics), marvel
Oya_(comics), marvel
Karen_Page, marvel
Paladin_(comics), marvel
Pandemic_(comics), marvel
Paradigm_(comics_character), marvel
Paris_(Marvel_Comics), marvel
Benjamin_Richard_Parker, marvel
Uncle_Ben, marvel
Kaine_Parker, marvel
Richard_and_Mary_Parker, marvel
Pasco_(comics), marvel
Patriot_(comics), marvel
Peepers_(Marvel_Comics), marvel
Penance_(X-Men), marvel
Peregrine_(comics), marvel
Persuasion_(comics), marvel
Perun_(comics), marvel
Pestilence_(comics), marvel
Deathlok_(Michael_Peterson), marvel
Phantazia, marvel
Phantom_Eagle, marvel
Phantom_Reporter, marvel
Phantom_Rider, marvel
Phaser_(comics), marvel
Phastos, marvel
Phat_(comics), marvel
Phobos_(Marvel_Comics), marvel
Phone_Ranger, marvel
Proteus_(Marvel_Comics), marvel
Alexander_Goodwin_Pierce, marvel
Donald_Pierce, marvel
Piledriver_(comics), marvel
Pink_Pearl_(comics), marvel
Pinky_Pinkerton, marvel
Pip_the_Troll, marvel
Pipeline_(comics), marvel
Piranha_(comics), marvel
Pisces_(comics), marvel
Pixie_(X-Men), marvel
Plantman, marvel
Plunderer_(comics), marvel
Pluto_(Marvel_Comics), marvel
Pod_(comics), marvel
Polestar_(comics), marvel
Porcupine_(comics), marvel
Portal_(comics), marvel
Possessor_(comics), marvel
Postman_(comics), marvel
Pepper_Potts, marvel
Poundcakes, marvel
Powderkeg_(character), marvel
Power_Broker_(character), marvel
Power_Man_(Victor_Alvarez), marvel
Power_Princess, marvel
Powerhouse_(comics), marvel
Predator_X_(Marvel_Comics), marvel
Prester_John_(comics), marvel
Pretty_Boy_(comics), marvel
Pretty_Persuasions, marvel
Preview_(comics), marvel
Primus_(Marvel_Comics), marvel
Princess_Python, marvel
Prism_(comics), marvel
Proctor_(comics), marvel
Prodigy_(Ritchie_Gilmore), marvel
Professor_Power, marvel
Professor_Thornton, marvel
The_Profile, marvel
Prometheus_(Marvel_Comics), marvel
Proteus_(Marvel_Comics), marvel
Protocide, marvel
Prowler_(Marvel_Comics), marvel
Kitty_Pryde, marvel
Madelyne_Pryor, marvel
Psi-Hawk, marvel
Psycho-Man, marvel
Psyklop, marvel
Betsy_Braddock, marvel
Kwannon_(character), marvel
Puck_(Marvel_Comics), marvel
Puff_Adder_(comics), marvel
Pulsar_(Marvel_Comics), marvel
Pulse_(Augustus), marvel
Puma_(comics), marvel
Punchout_(comics), marvel
Punisher, marvel
Punisher_2099, marvel
Puppet_Master_(Marvel_Comics), marvel
Purple_Man, marvel
Henry_Pym, marvel
Hope_Pym, marvel
Pyre_(comics), marvel
Pyro_(Marvel_Comics), marvel
Daisy_Johnson, marvel
Clay_Quartermain, marvel
Quasar_(comics), marvel
Quicksilver_(comics), marvel
Raa_of_the_Caves, marvel
Holden_Radcliffe, marvel
Radioactive_Man_(comics), marvel
Radius_(comics), marvel
Rage_(comics), marvel
Ragnarok_(comics), marvel
Tamara_Rahn, marvel
Raiders_(comics), marvel
Rakkus, marvel
Rebel_Ralston, marvel
Rampage_(Marvel_Comics), marvel
Random_(comics), marvel
Kavita_Rao, marvel
Monica_Rappaccini, marvel
Mikhail_Rasputin, marvel
Rattler_(comics), marvel
Ravage_(Marvel_Comics), marvel
Ravage_2099, marvel
Ravonna, marvel
Rawhide_Kid, marvel
Razor_Fist, marvel
Razorback_(comics), marvel
Recorder_451, marvel
Red_Barbarian, marvel
Red_Ghost_(character), marvel
Red_Guardian, marvel
Red_Hulk, marvel
Red_Nine, marvel
Red_Raven_(Marvel_Comics), marvel
Red_Ronin, marvel
Betty_Ross, marvel
Red_Shift_(comics), marvel
Red_Skull, marvel
Red_Sonja, marvel
Red_Wolf_(comics), marvel
Redstone_(comics), marvel
Redwing_(Marvel_Comics), marvel
Reignfire, marvel
Ben_Reilly, marvel
Reptil, marvel
Reptyl, marvel
Clive_Reston, marvel
Rev_(comics), marvel
Revanche_(Marvel_Comics), marvel
Cecilia_Reyes, marvel
Rhapsody_(comics), marvel
Rhino_(comics), marvel
Val_Rhymin, marvel
Franklin_Richards_(Fantastic_Four), marvel
Nathaniel_Richards_(Marvel_Comics), marvel
Valeria_Richards, marvel
Molly_von_Richthofen, marvel
Ricochet_(comics), marvel
Rictor, marvel
Ringer_(comics), marvel
Ringmaster_(comics), marvel
Ringo_Kid, marvel
Dallas_Riordan, marvel
Riptide_(comics), marvel
Deborah_Risman, marvel
Matthew_Risman, marvel
Risque_(comics), marvel
Donald_&_Deborah_Ritter, marvel
Robbie_Robertson_(comics), marvel
Randy_Robertson, marvel
Rock_Python, marvel
Rocket_Raccoon, marvel
Rocket_Racer, marvel
Rocketeers_(comics), marvel
Death_Squad_(comics), marvel
Rockman_(comics), marvel
Rockslide_(comics), marvel
Rodstvow, marvel
Rogue_(comics), marvel
Rom_(comics), marvel
Roma_(comics), marvel
Romulus_(Marvel_Comics), marvel
Ronan_the_Accuser, marvel
Ronin_(Marvel_Comics), marvel
Richard_Rory, marvel
Roughouse, marvel
Royal_Roy, marvel
Ruby_Thursday, marvel
Ruckus_(comics), marvel
Runner_(comics), marvel
Henry_Russo, marvel
Russian_(comics), marvel
Skrull_Kill_Krew, marvel
John_Ryker, marvel
Sabra_(comics), marvel
Sabretooth_(comics), marvel
Sage_(comics), marvel
Sagittarius_(comics), marvel
Sandman_(Marvel_Comics), marvel
Sangre_(comics), marvel
Sasquatch_(comics), marvel
Sat-Yr-9, marvel
Satana_(Marvel_Comics), marvel
Satannish, marvel
Saturnyne, marvel
Saul_(comics), marvel
Sauron_(comics), marvel
Happy_Sam_Sawyer, marvel
Scaleface, marvel
Scalphunter_(Marvel_Comics), marvel
Scarecrow_(Marvel_Comics), marvel
Scarlet_Scarab, marvel
Scarlet_Spider, marvel
Scarlet_Witch|Wanda_Maximoff_(Marvel_Cinematic_Universe), marvel
Scientist_Supreme, marvel
Scimitar_(Marvel_Comics), marvel
Scorcher_(comics), marvel
Scorpia_(comics), marvel
Scorpio_(Marvel_Comics), marvel
Scorpion_(Marvel_Comics), marvel
Scourge_of_the_Underworld, marvel
Scramble_(comics), marvel
Scrambler_(comics), marvel
Nicholas_Scratch, marvel
Scream_(comics), marvel
Scribe_(comics), marvel
Scuzz_(comics), marvel
Selene_(comics), marvel
Erik_Selvig, marvel
Se_or_Muerte_/_Se_or_Suerte, marvel
Sentinel_(comics), marvel
Sentry_(comics), marvel
Sequoia_(comics), marvel
Serafina_(Marvel), marvel
Serpentina_(comics), marvel
Sersi, marvel
Juston_Seyfert, marvel
Shadow_King, marvel
Shalla-Bal, marvel
Shaman_(comics), marvel
Shamrock_(comics), marvel
Shang-Chi|Shang-Chi_(Marvel_Cinematic_Universe), marvel
Shanna_the_She-Devil, marvel
Karima_Shapandar, marvel
Shape_(comics), marvel
Shaper_of_Worlds, marvel
Shard_(comics), marvel
Miriam_Sharpe, marvel
Shathra, marvel
Shatter_(comics), marvel
Shatterstar, marvel
Jacob_Shaw_(comics), marvel
Sebastian_Shaw_(comics), marvel
Shinobi_Shaw, marvel
She-Hulk, marvel
Anne_Weying, marvel
Shellshock_(Marvel_Comics), marvel
Shepard_(comics), marvel
Lotus_Shinchuko, marvel
Randall_Shire, marvel
Shiva_(Marvel_Comics), marvel
Shocker_(comics), marvel
Shockwave_(comics), marvel
Shooting_Star_(comics), marvel
Shortpack, marvel
Shrew_(comics), marvel
Shriek_(comics), marvel
Shriker, marvel
Shroud_(comics), marvel
Shuma-Gorath, marvel
Sidewinder_(comics), marvel
Siege_(John_Kelly), marvel
Sif_(comics)|Sif_(Marvel_Cinematic_Universe), marvel
Sigyn_(Marvel_Comics), marvel
Silencer_(comics), marvel
Silhouette_(comics), marvel
Silk_(comics), marvel
Samuel_Silke, marvel
Silver_Dagger_(comics), marvel
Silver_Fox_(comics), marvel
Silver_Sable, marvel
Silver_Samurai, marvel
Silver_Surfer, marvel
Silverclaw, marvel
Silvermane, marvel
Jemma_Simmons, marvel
Sin_(Marvel_Comics), marvel
Sin-Eater_(comics), marvel
Sirocco_(comics), marvel
Siryn, marvel
Jasper_Sitwell, marvel
Skaar_(character), marvel
Skein_(comics), marvel
Skids_(comics), marvel
Skin_(Marvel_Comics), marvel
Skinner_(comics), marvel
Skornn, marvel
Skrullian_Skymaster, marvel
Skull_the_Slayer, marvel
Skullbuster, marvel
Skullfire, marvel
Redneck_(comics), marvel
Skyhawk_(comics), marvel
Slab_(comics), marvel
Margaret_Slade_(Marvel_Comics), marvel
Slapstick_(comics), marvel
Slash_(Marvel_Comics), marvel
Trevor_Slattery, marvel
Slaymaster, marvel
Sleeper_(Marvel_Comics), marvel
Sleepwalker_(comics), marvel
Slipstream_(comics), marvel
Slither_(comics), marvel
Yo-Yo_Rodriguez, marvel
Slug_(comics), marvel
Slyde, marvel
Marrina_Smallwood, marvel
Smartship_Friday, marvel
Smasher_(Marvel_Comics), marvel
Smiling_Tiger, marvel
Smuggler_(comics), marvel
Alistair_Smythe, marvel
Spencer_Smythe, marvel
Snake_Marston_(comics), marvel
Snapdragon_(comics), marvel
Snowbird_(comics), marvel
Tildie_Soames, marvel
Martin_Soap, marvel
Solarman, marvel
Solo_(Marvel_Comics), marvel
Solomon_Kane_(comics), marvel
Songbird_(comics), marvel
Southpaw_(comics), marvel
Peni_Parker, marvel
Speed_(comics), marvel
Speed_Demon_(comics), marvel
Robbie_Baldwin, marvel
Sphinx_(Marvel_Comics), marvel
Spider-Girl_(Mayday_Parker), marvel
Spider-Ham, marvel
Spider-Man_(Pavitr_Prabhakar), marvel
Spider-Man_2099, marvel
Spider-Punk, marvel
Spider-Slayer, marvel
Spider-UK, marvel
Spider-Woman, marvel
Spidercide, marvel
Spike_(Marvel_Comics), marvel
Spiral_(comics), marvel
